"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.589572390E-1,1.178174913E-1,1.340619922E0,9.711641312E0,9.804443875E0
3.613390620E-1,9.866471589E-2,1.354984522E0,9.749946594E0,9.844144268E0
3.637214580E-1,7.951192558E-2,1.354984522E0,9.682910919E0,9.777579919E0
3.661027600E-1,9.387651086E-2,1.393290162E0,9.649394035E0,9.749916693E0
3.684843230E-1,1.130293161E-1,1.374137282E0,9.678123474E0,9.775842822E0
3.708654680E-1,1.130293161E-1,1.340619922E0,9.716429710E0,9.809130630E0
3.732468750E-1,1.321820915E-1,1.354984522E0,9.730792999E0,9.825568053E0
3.756304680E-1,6.993553042E-2,1.359772801E0,9.702064514E0,9.797138811E0
3.780145310E-1,6.514734030E-2,1.393290162E0,9.687700272E0,9.787596140E0
3.803911460E-1,1.034529060E-1,1.383713722E0,9.702064514E0,9.800786805E0
3.827732290E-1,7.472373545E-2,1.364560843E0,9.735582352E0,9.831031159E0
3.851541140E-1,5.557093769E-2,1.369349122E0,9.721217155E0,9.817345269E0
3.875350000E-1,7.951192558E-2,1.374137282E0,9.673335075E0,9.770772073E0
3.899164060E-1,9.866471589E-2,1.369349122E0,9.658969879E0,9.756052012E0
3.923022910E-1,8.430013061E-2,1.378925562E0,9.730792999E0,9.828370903E0
3.947068750E-1,1.082411110E-1,1.354984522E0,9.716429710E0,9.811050174E0
3.970648960E-1,6.514734030E-2,1.383713722E0,9.730792999E0,9.828898221E0
3.994429680E-1,1.034529060E-1,1.364560843E0,9.673335075E0,9.769654051E0
4.018227600E-1,1.369702965E-1,1.364560843E0,9.682910919E0,9.779547588E0
4.042040100E-1,8.430013061E-2,1.350196242E0,9.687700272E0,9.781700924E0
4.065853120E-1,4.599453509E-2,1.378925562E0,9.735582352E0,9.832858940E0
4.089668230E-1,7.951192558E-2,1.374137282E0,9.706851959E0,9.803955853E0
4.113483850E-1,8.430013061E-2,1.359772801E0,9.678123474E0,9.773544012E0
4.137324480E-1,8.430013061E-2,1.340619922E0,9.706851959E0,9.799354226E0
4.161133330E-1,7.951192558E-2,1.335831761E0,9.730792999E0,9.822377565E0
4.184945310E-1,9.387651086E-2,1.350196242E0,9.711641312E0,9.805499460E0
4.208758850E-1,7.472373545E-2,1.364560843E0,9.678123474E0,9.774133410E0
4.232570830E-1,1.178174913E-1,1.374137282E0,9.682910919E0,9.780638941E0
4.256379160E-1,1.417585015E-1,1.350196242E0,9.711641312E0,9.806074767E0
4.280197910E-1,1.082411110E-1,1.311890721E0,9.740370750E0,9.828916306E0
4.304007810E-1,7.951192558E-2,1.359772801E0,9.692488670E0,9.787729095E0
4.327803120E-1,9.866471589E-2,1.359772801E0,9.682910919E0,9.778419129E0
4.351611980E-1,1.609112769E-1,1.378925562E0,9.668547630E0,9.767709119E0
4.375424480E-1,9.387651086E-2,1.350196242E0,9.730792999E0,9.824468183E0
4.399240620E-1,5.078274012E-2,1.369349122E0,9.740370750E0,9.836285796E0
4.423057810E-1,9.387651086E-2,1.378925562E0,9.678123474E0,9.776314361E0
4.447109370E-1,1.178174913E-1,1.359772801E0,9.663759232E0,9.759667285E0
4.470675000E-1,1.226056963E-1,1.331043482E0,9.702064514E0,9.793710469E0
4.494483330E-1,1.082411110E-1,1.326255441E0,9.735582352E0,9.826099600E0
4.518294790E-1,8.430013061E-2,1.331043482E0,9.716429710E0,9.807537386E0
4.542108330E-1,9.387651086E-2,1.345408201E0,9.702064514E0,9.795355627E0
4.565925520E-1,9.866471589E-2,1.350196242E0,9.697276115E0,9.791319047E0
4.589739060E-1,1.178174913E-1,1.350196242E0,9.721217155E0,9.815241914E0
4.613577600E-1,8.908830583E-2,1.364560843E0,9.740370750E0,9.835892709E0
4.637395830E-1,6.514734030E-2,1.378925562E0,9.692488670E0,9.790302166E0
4.661218750E-1,1.082411110E-1,1.374137282E0,9.673335075E0,9.771048096E0
4.685050000E-1,1.034529060E-1,1.369349122E0,9.673335075E0,9.770323997E0
4.708851040E-1,7.951192558E-2,1.364560843E0,9.726005554E0,9.821585029E0
4.732666140E-1,7.472373545E-2,1.369349122E0,9.735582352E0,9.831696923E0
4.756486980E-1,6.993553042E-2,1.369349122E0,9.711641312E0,9.807955188E0
