Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Paulo Jacinto,Alagoas,não,118.457,7426,7564,62.69,63.85,0.589,8826.59,
Maceió,Alagoas,sim,509.320,944330,1018948,1854.10,2000.6,0.721,21210.09,
Teotônio Vilela,Alagoas,não,299.221,41337,44169,138.15,147.61,0.564,10500.91,
Roteiro,Alagoas,não,128.926,6637,6664,51.48,51.69,0.505,21798.30,
Batalha,Alagoas,não,315.870,16807,18232,53.21,57.72,0.594,9300.83,
São José da Tapera,Alagoas,não,492.119,29906,32260,60.77,65.55,0.527,7166.43,
Mazagão,Amapá,não,13294.778,17283,21632,1.30,1.63,0.592,12003.39,
Macapá,Amapá,sim,6563.849,407877,503327,62.14,76.68,0.733,21054.88,
Serra do Navio,Amapá,não,7713.046,4319,5397,0.56,0.7,0.709,13857.88,
Pedra Branca do Amapari,Amapá,não,9622.290,10873,16502,1.13,1.71,0.626,18577.96,
Cutias,Amapá,não,2179.114,4837,5983,2.22,2.75,0.628,12913.84,
Itaubal,Amapá,não,1622.867,4057,5503,2.50,3.39,0.576,12713.02,
Porto Grande,Amapá,não,4428.013,16915,21971,3.82,4.96,0.640,16107.08,
Pracuúba,Amapá,não,4948.508,3810,5120,0.77,1.03,0.614,13170.57,
Oiapoque,Amapá,não,23034.392,20961,27270,0.91,1.18,0.658,15462.09,
Vitória do Jari,Amapá,não,2508.979,12569,15931,5.01,6.35,0.619,12303.59,
Amapá,Amapá,não,8454.847,7440,9109,0.88,1.08,0.642,19062.67,
Ferreira Gomes,Amapá,não,4973.855,5719,7780,1.15,1.56,0.656,68751.16,
Laranjal do Jari,Amapá,não,30782.998,39710,50410,1.29,1.64,0.665,17885.40,
Santana,Amapá,não,1541.224,98807,121364,64.11,78.75,0.692,16539.73,
Tartarugalzinho,Amapá,não,6684.705,12500,17315,1.87,2.59,0.592,12537.48,
Calçoene,Amapá,não,14117.297,8893,11117,0.63,0.79,0.643,13959.32,
Borba,Amazonas,não,44236.184,34946,41161,0.79,0.93,0.560,7313.77,3 de março de 1755
Silves,Amazonas,não,3723.382,8377,9171,2.25,2.46,0.632,10453.73,29 de dezembro de 1956
Urucurituba,Amazonas,não,2886.494,17723,23065,6.14,7.99,0.588,6450.77,24 de janeiro de 1976
Benjamin Constant,Amazonas,não,8695.391,33042,42984,3.80,4.94,0.574,6766.77,29 de janeiro de 1898
Boa Vista do Ramos,Amazonas,não,2589.407,14992,19207,5.79,7.42,0.565,6794.72,10 de dezembro de 1981
Envira,Amazonas,não,7505.794,16362,20033,2.18,2.67,0.509,7627.76,19 de dezembro de 1955
Nhamundá,Amazonas,não,14107.040,18339,21173,1.30,1.5,0.586,6797.78,31 de janeiro de 1956
Tabatinga,Amazonas,não,3266.062,52942,65844,16.21,20.16,0.616,7255.96,10 de dezembro de 1981
Ipixuna,Amazonas,não,12109.779,22403,29689,1.85,2.45,0.481,4942.15,18 de fevereiro de 1955
Atalaia do Norte,Amazonas,não,76435.093,15287,19921,0.20,0.26,0.450,7407.49,19 de dezembro de 1955
Manaquiri,Amazonas,não,3973.259,22766,32105,5.73,8.08,0.596,7806.29,10 de dezembro de 1981
Autazes,Amazonas,não,7652.852,32371,39565,4.23,5.17,0.577,8527.28,19 de dezembro de 1955
Lábrea,Amazonas,não,68262.680,37544,46069,0.55,0.67,0.531,11033.02,7 de março de 1881
Santo Antônio do Içá,Amazonas,não,12366.143,24608,21602,1.99,1.75,0.490,7477.54,13 de março de 1936
Pauini,Amazonas,não,41624.664,18314,19426,0.44,0.47,0.496,7690.77,19 de março de 1956
Maraã,Amazonas,não,16830.827,17504,18224,1.04,1.08,0.498,8325.67,19 de dezembro de 1955
Codajás,Amazonas,não,18700.713,23188,28637,1.24,1.53,0.563,16683.01,05 de agosto de 1875
Fonte Boa,Amazonas,não,12155.427,22852,17609,1.88,1.45,0.530,8507.12,31 de março de 1938
Rio Preto da Eva,Amazonas,não,5815.622,25705,33347,4.42,5.73,0.611,11994.12,10 de dezembro de 1981
Jutaí,Amazonas,não,69457.415,18058,14317,0.26,0.21,0.516,13794.17,19 de dezembro de 1955
Itacoatiara,Amazonas,não,8891.906,86873,101337,9.77,11.4,0.644,19817.09,08 de setembro de 1655
Barcelos,Amazonas,não,122461.086,25716,27502,0.21,0.22,0.500,5784.23,27 de maio de 1758
Urucará,Amazonas,não,27901.962,17020,16256,0.61,0.58,0.620,17566.03,12 de maio de 1887
Humaitá,Amazonas,não,33111.143,44368,55080,1.34,1.66,0.605,10400.50,15 de maio de 1869
