Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Alagoa Nova,Paraíba,não,128.230,20642,20849,160.98,162.59,0.576,10920.39,
Belém,Paraíba,não,99.609,17000,17676,170.67,177.45,0.592,9641.48,
Bernardino Batista,Paraíba,não,57.453,3489,3501,60.74,60.94,0.558,9195.38,
Pilar,Paraíba,não,103.306,11290,11917,109.29,115.36,0.579,7781.77,
Mari,Paraíba,não,155.265,21235,21837,136.77,140.64,0.548,8747.49,
Água Branca,Paraíba,não,241.662,9651,10234,39.94,42.35,0.572,7527.81,
São José de Piranhas,Paraíba,não,686.918,19364,20251,28.19,29.48,0.591,8725.65,
Cacimba de Dentro,Paraíba,não,165.072,16890,17187,102.32,104.12,0.564,7221.35,
Mulungu,Paraíba,não,187.259,9078,9902,48.48,52.88,0.565,7753.28,
Brejo do Cruz,Paraíba,não,401.315,13203,14122,32.90,35.19,0.597,8667.51,
Catingueira,Paraíba,não,527.424,4794,4932,9.09,9.35,0.574,8150.85,
São João do Rio do Peixe,Paraíba,não,476.238,18268,18034,38.36,37.87,0.608,9573.04,
Conceição,Paraíba,não,580.650,18400,18982,31.69,32.69,0.592,8504.57,
Campina Grande,Paraíba,não,591.658,383577,409731,648.31,692.51,0.720,21077.30,
Caturité,Paraíba,não,117.823,4532,4852,38.47,41.18,0.623,11729.14,
Poço de José de Moura,Paraíba,não,94.646,3729,4307,39.40,45.51,0.612,9407.55,
Serraria,Paraíba,não,65.062,6215,6099,95.53,93.74,0.547,9666.44,
Montadas,Paraíba,não,31.793,5022,5669,157.97,178.31,0.590,10793.75,
Bananeiras,Paraíba,não,255.641,21657,21318,84.72,83.39,0.568,10987.28,
São Francisco,Paraíba,não,90.724,3210,3392,35.39,37.39,0.580,9503.95,
Alagoa Grande,Paraíba,não,322.071,28612,28496,88.84,88.48,0.582,9333.42,
Desterro,Paraíba,não,182.018,8108,8297,44.55,45.58,0.580,7117.28,
Patos,Paraíba,não,472.892,100640,107605,212.82,227.55,0.701,15882.57,
Mamanguape,Paraíba,não,337.434,41919,44882,124.23,133.01,0.585,13890.28,
Ingá,Paraíba,não,262.179,16551,18103,63.13,69.05,0.592,8587.87,
Bom Jesus,Paraíba,não,47.367,2386,2561,50.39,54.07,0.597,10208.90,
Santana de Mangueira,Paraíba,não,405.164,5372,5162,13.26,12.74,0.535,7782.22,
Caiçara,Paraíba,não,123.677,6980,7201,56.44,58.22,0.592,8146.44,
São José de Caiana,Paraíba,não,183.273,6245,6359,34.08,34.7,0.565,7370.27,
Piancó,Paraíba,não,576.986,15797,16075,27.38,27.86,0.621,11160.32,
Livramento,Paraíba,não,266.948,7349,7256,27.53,27.18,0.566,7750.02,
Borborema,Paraíba,não,26.107,5136,5263,196.74,201.59,0.558,11444.80,
Nova Palmeira,Paraíba,não,314.748,4422,4906,14.05,15.59,0.595,8027.41,
Bonito de Santa Fé,Paraíba,não,226.798,10732,11917,47.32,52.54,0.574,7958.37,
Dona Inês,Paraíba,não,173.648,10990,10453,63.29,60.2,0.545,7825.70,
Tavares,Paraíba,não,239.507,14231,14726,59.42,61.48,0.586,7415.05,
Princesa Isabel,Paraíba,não,368.569,21318,23345,57.84,63.34,0.606,9064.69,
Santa Luzia,Paraíba,não,440.766,14236,15382,32.30,34.9,0.682,12879.33,
Guarabira,Paraíba,não,162.387,54204,58833,333.80,362.3,0.673,16086.77,
Solânea,Paraíba,não,233.043,26802,26407,115.01,113.31,0.595,10012.97,
Emas,Paraíba,não,248.226,3418,3522,13.77,14.19,0.595,9073.41,
Natuba,Paraíba,não,202.173,10417,10454,51.53,51.71,0.541,7726.23,
Boa Ventura,Paraíba,não,168.664,5685,5366,33.71,31.81,0.599,7835.46,
Esperança,Paraíba,não,157.851,29969,33007,189.86,209.1,0.623,12265.37,
Sapé,Paraíba,não,313.678,49849,52625,158.92,167.77,0.569,10055.25,
Aroeiras,Paraíba,não,376.118,19155,19153,50.93,50.92,0.548,7371.46,
Uiraúna,Paraíba,não,293.182,14518,15242,49.52,51.99,0.636,10591.10,
Alagoinha,Paraíba,não,111.361,15589,14489,139.99,130.11,0.595,7516.55,
Pirpirituba,Paraíba,não,80.672,10433,10579,129.33,131.14,0.595,8033.40,
Monte Horebe,Paraíba,não,116.854,4533,4816,38.80,41.21,0.587,7643.81,
Salgado de São Félix,Paraíba,não,204.079,12108,12140,59.33,59.49,0.568,9181.91,
Rio Tinto,Paraíba,não,465.240,22992,24176,49.42,51.96,0.585,9876.76,
Areial,Paraíba,não,35.810,6990,6998,195.22,195.42,0.608,7463.31,
Pocinhos,Paraíba,não,623.967,16921,18564,27.12,29.75,0.591,12547.98,
Carrapateira,Paraíba,não,59.070,2576,2659,43.61,45.01,0.603,9591.01,
Cabedelo,Paraíba,não,29.873,54236,67736,1815.57,2267.47,0.748,42556.16,
Mogeiro,Paraíba,não,214.093,13789,13284,64.41,62.05,0.574,9783.23,
Santa Helena,Paraíba,não,211.143,5390,5889,25.53,27.89,0.609,8390.68,
Serra Grande,Paraíba,não,64.352,2293,2909,35.64,45.2,0.586,15598.31,
Barra de São Miguel,Paraíba,não,609.697,5749,6036,9.43,9.9,0.572,7788.09,
Maturéia,Paraíba,não,83.053,5894,6569,70.97,79.09,0.572,7668.36,
Queimadas,Paraíba,não,402.748,41148,43967,102.17,109.17,0.608,10530.98,
Santa Cecília,Paraíba,não,217.577,6357,6558,29.22,30.14,0.525,8087.73,
Bayeux,Paraíba,não,27.705,86405,96880,3118.76,3496.84,0.649,13975.42,
Frei Martinho,Paraíba,não,238.658,2863,2989,12.00,12.52,0.641,8884.04,
Itatuba,Paraíba,não,251.749,10515,10962,41.77,43.54,0.562,9683.64,
Serra Redonda,Paraíba,não,55.197,6960,7041,126.11,127.56,0.570,8499.60,
Condado,Paraíba,não,265.473,6222,6654,23.44,25.06,0.594,8511.65,
Arara,Paraíba,não,91.306,11656,13470,127.66,147.53,0.548,7300.36,
Gurinhém,Paraíba,não,340.408,13643,14129,40.08,41.51,0.556,9544.32,
Lagoa de Dentro,Paraíba,não,83.508,7282,7719,87.21,92.43,0.570,9337.82,
Pedra Lavrada,Paraíba,não,335.615,7135,7843,21.26,23.37,0.574,8473.63,
São Sebastião de Lagoa de Roça,Paraíba,não,46.372,10255,11661,221.16,251.47,0.594,7313.51,
Juru,Paraíba,não,395.075,9627,9867,24.37,24.98,0.570,7499.74,
Manaíra,Paraíba,não,352.025,10743,10955,30.52,31.12,0.543,6512.60,
Aguiar,Paraíba,não,351.607,5639,5640,16.04,16.04,0.597,8520.89,
Belém do Brejo do Cruz,Paraíba,não,601.549,7122,7342,11.84,12.21,0.578,8782.21,
Igaracy,Paraíba,não,197.058,6309,6117,32.02,31.04,0.610,8294.75,
Duas Estradas,Paraíba,não,27.012,3741,3596,138.53,133.13,0.603,10481.05,
Fagundes,Paraíba,não,185.061,11166,11253,60.34,60.81,0.560,7731.72,
Juripiranga,Paraíba,não,78.706,10219,10756,129.84,136.66,0.548,9263.24,
Lagoa,Paraíba,não,176.649,4647,4666,26.31,26.41,0.563,8099.29,
Lucena,Paraíba,não,93.800,12370,13080,131.88,139.45,0.583,14302.08,
Nazarezinho,Paraíba,não,193.203,7345,7301,38.02,37.79,0.562,7884.80,
Nova Olinda,Paraíba,não,81.516,5872,5949,72.04,72.98,0.573,8067.76,
Olho d'Água,Paraíba,não,580.470,6750,6526,11.63,11.24,0.572,8700.95,
Passagem,Paraíba,não,123.422,2463,2419,19.96,19.6,0.620,10040.86,
Pitimbu,Paraíba,não,135.801,16945,19065,124.78,140.39,0.570,13770.01,
Salgadinho,Paraíba,não,179.005,3408,3885,19.04,21.7,0.563,6391.78,
Santana dos Garrotes,Paraíba,não,361.484,7424,7031,20.54,19.45,0.594,7633.10,
Santa Teresinha,Paraíba,não,359.442,4600,4573,12.80,12.72,0.627,9757.39,
São José dos Cordeiros,Paraíba,não,376.661,3593,3628,9.54,9.63,0.556,7712.88,
São Miguel de Taipu,Paraíba,não,92.413,6687,7368,72.37,79.73,0.548,8687.06,
Triunfo,Paraíba,não,224.336,9406,9455,41.93,42.15,0.609,7879.20,
Cachoeira dos Índios,Paraíba,não,193.215,9552,10244,49.44,53.02,0.587,10664.31,
Cuitegi,Paraíba,não,42.091,7377,6803,175.28,161.63,0.570,8378.46,
Mãe d'Água,Paraíba,não,228.676,3770,4009,16.49,17.53,0.542,7855.92,
Malta,Paraíba,não,172.010,6180,5759,35.93,33.48,0.642,8754.55,
São José de Espinharas,Paraíba,não,726.757,4767,4682,6.56,6.44,0.577,10464.44,
Caaporã,Paraíba,não,151.018,20476,21828,135.59,144.54,0.602,14725.12,
Pilõezinhos,Paraíba,não,40.908,4803,4976,117.42,121.64,0.564,8597.43,
Riacho dos Cavalos,Paraíba,não,262.532,8267,8526,31.49,32.48,0.568,8189.85,
Itapororoca,Paraíba,não,145.806,16965,18664,116.36,128.01,0.564,9202.80,
Santa Cruz,Paraíba,não,217.677,6702,6583,30.79,30.24,0.618,8411.87,
Cacimba de Areia,Paraíba,não,213.018,3438,3682,16.14,17.28,0.596,8831.87,
Diamante,Paraíba,não,271.791,6680,6552,24.58,24.11,0.593,8132.57,
Paulista,Paraíba,não,577.379,11795,12347,20.43,21.38,0.587,9714.50,
Brasilândia do Sul,Paraná,não,291.036,3210,2651,11.03,9.11,0.681,55542.69,
Bom Sucesso do Sul,Paraná,não,195.931,3293,3264,16.81,16.66,0.742,52362.11,
Manoel Ribas,Paraná,não,571.135,13170,13502,23.06,23.64,0.716,22956.64,
Laranjal,Paraná,não,559.439,6360,5852,11.37,10.46,0.585,13539.44,
Sulina,Paraná,não,170.759,3394,2981,19.88,17.46,0.693,29235.78,
Balsa Nova,Paraná,não,348.926,11301,12941,32.39,37.09,0.696,51138.02,
Guaporema,Paraná,não,201.150,2228,2243,11.08,11.15,0.719,24920.04,
Fazenda Rio Grande,Paraná,não,116.678,81674,100209,700.00,858.85,0.720,25009.80,
Lupionópolis,Paraná,não,121.066,4592,4920,37.93,40.64,0.710,21180.86,
Apucarana,Paraná,não,558.389,120919,134996,216.55,241.76,0.748,23872.36,
Pitanga,Paraná,não,1663.747,32642,30310,19.62,18.22,0.702,25468.47,
Piraquara,Paraná,não,227.042,93205,113036,410.52,497.86,0.700,11343.16,
Mato Rico,Paraná,não,394.533,3819,3272,9.68,8.29,0.632,20746.97,
Douradina,Paraná,não,419.853,7443,8747,17.73,20.83,0.724,62232.32,
Missal,Paraná,não,324.397,10474,10702,32.29,32.99,0.711,29354.30,
Nova Prata do Iguaçu,Paraná,não,352.565,10375,10548,29.43,29.92,0.716,29801.57,
Tapira,Paraná,não,434.371,5837,5539,13.44,12.75,0.697,21815.74,
Colombo,Paraná,não,197.793,212967,243726,1076.72,1232.23,0.733,19939.76,
Araucária,Paraná,não,469.240,119121,143843,253.86,306.54,0.740,123478.34,
Cornélio Procópio,Paraná,não,635.100,46927,47845,73.89,75.33,0.759,29744.38,
São João do Triunfo,Paraná,não,720.407,13702,15120,19.02,20.99,0.629,34015.20,
Salto do Lontra,Paraná,não,312.717,13687,14785,43.77,47.28,0.718,25310.72,
Campo Largo,Paraná,não,1243.551,111832,132002,89.93,106.15,0.745,32610.37,
Francisco Alves,Paraná,não,321.898,6418,6046,19.94,18.78,0.669,28321.78,
Sengés,Paraná,não,1441.333,18463,19327,12.81,13.41,0.663,26636.80,
Guapirama,Paraná,não,189.100,3891,3802,20.58,20.11,0.702,25731.40,
Guaraqueçaba,Paraná,não,2017.030,7866,7636,3.90,3.79,0.587,13493.55,
Paraíso do Norte,Paraná,não,204.564,11772,13830,57.55,67.61,0.746,23808.10,
Grandes Rios,Paraná,não,314.198,6626,5618,21.09,17.88,0.658,19963.12,
Nova Londrina,Paraná,não,269.389,13068,13213,48.51,49.05,0.758,24864.02,
Tibagi,Paraná,não,2951.567,19332,20522,6.55,6.95,0.664,42370.95,
Castro,Paraná,não,2531.503,67084,71484,26.50,28.24,0.703,37188.13,
Rio Bonito do Iguaçu,Paraná,não,681.406,12476,13269,18.31,19.47,0.629,20230.92,
São José dos Pinhais,Paraná,não,946.435,264206,323340,279.16,341.64,0.758,73427.61,
Saudade do Iguaçu,Paraná,não,152.084,5027,5500,33.06,36.16,0.699,165067.03,
Congonhinhas,Paraná,não,535.963,8280,8818,15.45,16.45,0.668,21640.97,
Pinhais,Paraná,não,60.869,117015,132157,1922.42,2171.17,0.751,43213.64,
Rancho Alegre D'Oeste,Paraná,não,241.386,2845,2655,11.79,11.0,0.704,46546.87,
Telêmaco Borba,Paraná,não,1382.860,69875,78974,50.53,57.11,0.734,49647.14,
Reserva,Paraná,não,1635.522,25170,26715,15.39,16.33,0.618,20620.71,
União da Vitória,Paraná,não,719.998,52732,57517,73.24,79.88,0.740,26834.66,
Curitiba,Paraná,sim,434.892,1751327,1933105,4027.04,4445.02,0.823,44384.92,
Carlópolis,Paraná,não,451.418,13705,14320,30.36,31.72,0.713,18640.11,
Jacarezinho,Paraná,não,602.528,39122,39378,64.93,65.35,0.743,29277.85,
Godoy Moreira,Paraná,não,131.012,3336,2946,25.47,22.49,0.675,16085.99,
Tapejara,Paraná,não,591.399,14595,16205,24.68,27.4,0.703,30357.99,
Bocaiúva do Sul,Paraná,não,826.344,10990,12944,13.30,15.66,0.640,15858.52,
Palmas,Paraná,não,1557.903,42889,50986,27.53,32.73,0.660,22524.05,
Maripá,Paraná,não,283.793,5684,5603,20.03,19.74,0.758,57283.90,
Marmeleiro,Paraná,não,387.612,13907,14367,35.88,37.07,0.722,29490.93,
São José das Palmeiras,Paraná,não,182.419,3830,3654,21.00,20.03,0.713,19232.63,
Espigão Alto do Iguaçu,Paraná,não,326.440,4677,4117,14.33,12.61,0.636,24892.61,
Figueira,Paraná,não,129.769,8293,7770,63.91,59.88,0.677,18563.45,
Porto Rico,Paraná,não,217.676,2529,2559,11.62,11.76,0.735,26159.69,
Piraí do Sul,Paraná,não,1403.066,23417,25463,16.69,18.15,0.708,31845.21,
Boa Esperança do Iguaçu,Paraná,não,151.797,2764,2503,18.21,16.49,0.700,32032.78,
Cruzeiro do Iguaçu,Paraná,não,161.862,4278,4252,26.43,26.27,0.709,25960.56,
Altamira do Paraná,Paraná,não,386.945,4306,1942,11.13,5.02,0.667,24472.95,
Capitão Leônidas Marques,Paraná,não,275.748,14970,15780,54.29,57.23,0.716,74822.73,
Jardim Alegre,Paraná,não,413.386,12562,11328,30.39,27.4,0.689,20890.03,
Rio Bom,Paraná,não,177.836,3334,3203,18.75,18.01,0.729,20649.57,
Guaratuba,Paraná,não,1326.670,32092,37067,24.19,27.94,0.717,21191.97,
Nova Santa Rosa,Paraná,não,204.665,7625,8219,37.26,40.16,0.731,39022.21,
Perobal,Paraná,não,409.050,5673,6127,13.87,14.98,0.713,25412.52,
Quarto Centenário,Paraná,não,321.875,4857,4512,15.09,14.02,0.710,44414.61,
Assaí,Paraná,não,440.347,16354,15119,37.14,34.33,0.728,24705.04,
Primeiro de Maio,Paraná,não,414.442,10833,11123,26.14,26.84,0.701,24107.09,
Ivaté,Paraná,não,410.907,7515,8185,18.29,19.92,0.706,23071.53,
Braganey,Paraná,não,343.321,5733,5427,16.70,15.81,0.701,28476.63,
Imbituva,Paraná,não,756.535,28453,32564,37.61,43.04,0.660,26187.08,
Santa Terezinha de Itaipu,Paraná,não,259.393,20842,23465,80.35,90.46,0.738,21102.04,
Alto Paraná,Paraná,não,407.719,13662,14770,33.51,36.23,0.696,26735.81,
Uraí,Paraná,não,237.810,11471,11314,48.24,47.58,0.721,22338.47,
Mandaguari,Paraná,não,335.814,32657,34400,97.25,102.44,0.751,44573.48,
Nova Santa Bárbara,Paraná,não,71.764,3908,4249,54.46,59.21,0.680,18455.60,
Santa Lúcia,Paraná,não,116.858,3925,3813,33.59,32.63,0.687,25146.28,
Alto Paraíso,Paraná,não,967.772,3203,2741,3.31,2.83,0.678,28619.40,
Maringá,Paraná,não,487.012,357047,423666,733.14,869.93,0.808,41569.88,
Pranchita,Paraná,não,226.140,5635,5157,24.92,22.8,0.752,40302.90,
Cantagalo,Paraná,não,583.540,12954,13317,22.20,22.82,0.635,17528.82,
Turvo,Paraná,não,938.966,14150,13215,15.07,14.07,0.672,31264.84,
Jesuítas,Paraná,não,247.496,9001,8412,36.37,33.99,0.705,37482.85,
Ribeirão Claro,Paraná,não,629.224,10677,10668,16.97,16.95,0.716,42411.19,
Três Barras do Paraná,Paraná,não,504.171,11822,12040,23.45,23.88,0.681,26448.06,
Ventania,Paraná,não,759.367,9955,11892,13.11,15.66,0.650,19494.73,
Nova Laranjeiras,Paraná,não,1210.205,11872,11554,9.81,9.55,0.642,16432.09,
Virmond,Paraná,não,243.173,3949,4023,16.24,16.54,0.722,28209.93,
Mauá da Serra,Paraná,não,108.324,8555,10601,78.98,97.86,0.652,27797.86,
Santa Helena,Paraná,não,754.701,23305,26490,30.88,35.1,0.744,33047.16,
Corumbataí do Sul,Paraná,não,164.341,4001,3219,24.35,19.59,0.638,18538.60,
Tomazina,Paraná,não,591.438,8788,7918,14.86,13.39,0.699,21028.44,
Lidianópolis,Paraná,não,151.456,3792,3310,25.04,21.85,0.680,22236.06,
Sertanópolis,Paraná,não,505.532,15636,16369,30.93,32.38,0.723,43018.26,
Foz do Iguaçu,Paraná,não,618.057,256234,258532,414.58,418.3,0.751,50990.89,
Ivaí,Paraná,não,607.848,12813,13879,21.08,22.83,0.651,27590.72,
Anahy,Paraná,não,102.647,2874,2801,28.00,27.29,0.695,25572.32,
Ibema,Paraná,não,145.446,6066,6352,41.71,43.67,0.685,21012.03,
Lindoeste,Paraná,não,361.367,5362,4676,14.84,12.94,0.666,28828.86,
Matinhos,Paraná,não,117.899,29466,34720,249.93,294.49,0.743,22301.97,
Ouro Verde do Oeste,Paraná,não,293.042,5690,5996,19.42,20.46,0.709,29022.36,
Santa Tereza do Oeste,Paraná,não,326.190,10330,10139,31.67,31.08,0.705,34002.36,
Lapa,Paraná,não,2093.859,44934,48163,21.46,23.0,0.706,39093.39,
Quitandinha,Paraná,não,447.024,17089,19049,38.23,42.61,0.680,19032.98,
Jussara,Paraná,não,210.869,6610,7013,31.35,33.26,0.718,30458.78,
Entre Rios do Oeste,Paraná,não,120.967,3890,4539,32.16,37.52,0.761,51393.67,
Pato Bragado,Paraná,não,135.600,4832,5610,35.64,41.37,0.747,29331.74,
Bandeirantes,Paraná,não,445.192,32182,31367,72.29,70.46,0.727,22389.79,
São Jorge do Patrocínio,Paraná,não,404.690,6042,5641,14.93,13.94,0.676,19668.16,
Farol,Paraná,não,289.232,3470,3089,12.00,10.68,0.715,41787.63,
Tuneiras do Oeste,Paraná,não,698.871,8693,8566,12.44,12.26,0.695,23406.15,
Umuarama,Paraná,não,1234.537,100824,111557,81.67,90.36,0.761,29870.46,
Clevelândia,Paraná,não,703.638,17239,16559,24.50,23.53,0.694,29004.16,
Santa Isabel do Ivaí,Paraná,não,349.497,8758,8562,25.06,24.5,0.720,21429.84,
Iracema do Oeste,Paraná,não,81.538,2578,2288,31.62,28.06,0.707,30626.83,
Santa Maria do Oeste,Paraná,não,836.669,11361,9615,13.58,11.49,0.609,17239.22,
Diamante do Sul,Paraná,não,347.233,3385,3439,9.75,9.9,0.608,15173.81,
Terra Boa,Paraná,não,320.850,15776,17094,49.17,53.28,0.728,26360.39,
Rio Azul,Paraná,não,599.056,13406,15236,22.38,25.43,0.687,36162.76,
Teixeira Soares,Paraná,não,902.793,10282,12367,11.39,13.7,0.671,29286.88,
Irati,Paraná,não,999.517,56202,60727,56.23,60.76,0.726,29692.43,
São Pedro do Iguaçu,Paraná,não,308.324,6490,5897,21.05,19.13,0.683,31413.85,
Cafezal do Sul,Paraná,não,335.392,4289,4044,12.79,12.06,0.692,21281.01,
Adrianópolis,Paraná,não,1349.311,6382,5919,4.73,4.39,0.667,40690.26,
Alto Piquiri,Paraná,não,447.666,10179,9836,22.74,21.97,0.676,27880.65,
Barbosa Ferraz,Paraná,não,538.636,12657,11568,23.50,21.48,0.696,17627.25,
Catanduvas,Paraná,não,581.756,10204,10189,17.54,17.51,0.678,24835.00,
Cidade Gaúcha,Paraná,não,403.045,11063,12652,27.45,31.39,0.718,31606.56,
Fênix,Paraná,não,234.099,4801,4762,20.51,20.34,0.716,27513.64,
Flórida,Paraná,não,83.046,2542,2689,30.62,32.38,0.732,22032.56,
Icaraíma,Paraná,não,675.240,8838,7904,13.09,11.71,0.666,26401.00,
Iretama,Paraná,não,570.459,10621,10169,18.62,17.83,0.665,22495.25,
Itambé,Paraná,não,243.822,5978,6108,24.52,25.05,0.746,29018.00,
Mandirituba,Paraná,não,379.179,22219,26869,58.60,70.86,0.655,22895.82,
Marechal Cândido Rondon,Paraná,não,745.243,46644,52944,62.59,71.04,0.774,42456.68,
Maria Helena,Paraná,não,486.224,5956,5677,12.25,11.68,0.703,16904.48,
Mariópolis,Paraná,não,230.365,6268,6610,27.21,28.69,0.698,34623.53,
Marumbi,Paraná,não,208.470,4603,4679,22.08,22.44,0.721,15774.94,
Matelândia,Paraná,não,639.746,16076,17943,25.13,28.05,0.725,48850.92,
Medianeira,Paraná,não,328.732,41817,46198,127.21,140.53,0.763,39985.46,
Moreira Sales,Paraná,não,353.772,12604,12121,35.63,34.26,0.675,23093.33,
Nova América da Colina,Paraná,não,129.476,3477,3445,26.86,26.61,0.698,23822.81,
Ourizona,Paraná,não,176.457,3379,3428,19.15,19.43,0.720,28370.68,
Palotina,Paraná,não,651.238,28680,31846,44.04,48.9,0.768,64919.11,
Salto do Itararé,Paraná,não,200.520,5177,4935,25.82,24.61,0.704,18256.53,
Santo Antônio do Paraíso,Paraná,não,165.904,2407,2106,14.51,12.69,0.716,31871.32,
São João,Paraná,não,388.059,10597,10241,27.31,26.39,0.727,63700.06,
São Tomé,Paraná,não,218.623,5349,5722,24.47,26.17,0.725,25280.88,
Xambrê,Paraná,não,359.712,6010,5679,16.71,15.79,0.706,14552.91,
Cianorte,Paraná,não,811.666,69957,82620,86.19,101.79,0.755,34135.58,
Atalaia,Paraná,não,137.663,3912,3892,28.42,28.27,0.736,38365.65,
Paranaguá,Paraná,não,826.431,140427,154936,169.92,187.48,0.750,64431.27,
Lobato,Paraná,não,240.904,4401,4787,18.27,19.87,0.744,38542.00,
Nova Olímpia,Paraná,não,136.347,5502,5806,40.36,42.58,0.710,13718.72,
Kaloré,Paraná,não,193.299,4505,4100,23.31,21.21,0.721,24830.51,
Goioerê,Paraná,não,564.163,29020,28884,51.44,51.2,0.731,27491.30,
Prudentópolis,Paraná,não,2247.141,47504,52241,21.14,23.25,0.676,22487.63,
Assis Chateaubriand,Paraná,não,969.587,33024,33362,34.06,34.41,0.729,33808.38,
Santo Antônio da Platina,Paraná,não,721.472,42703,45993,59.19,63.75,0.718,24910.49,
Cruzeiro do Oeste,Paraná,não,775.984,20330,20932,26.20,26.97,0.717,36639.90,
Candói,Paraná,não,1512.786,14976,15979,9.90,10.56,0.635,29957.73,
Ângulo,Paraná,não,106.021,2859,2928,26.97,27.62,0.721,33353.32,
Reserva do Iguaçu,Paraná,não,834.232,7307,8010,8.76,9.6,0.648,18357.39,
Mamborê,Paraná,não,788.061,13964,13132,17.72,16.66,0.719,35874.18,
Santa Mônica,Paraná,não,259.957,3571,3981,13.74,15.31,0.704,20899.30,
Mercedes,Paraná,não,198.934,4997,5536,25.12,27.83,0.740,37438.90,
Quatro Pontes,Paraná,não,114.393,3803,4015,33.25,35.1,0.791,43142.63,
São Manoel do Paraná,Paraná,não,95.381,2098,2160,22.00,22.65,0.725,22665.86,
Andirá,Paraná,não,236.075,20609,20031,87.30,84.85,0.725,34403.28,
Pérola,Paraná,não,240.635,10207,11234,42.42,46.68,0.700,42585.58,
Jaguariaíva,Paraná,não,1453.066,32606,34857,22.44,23.99,0.743,40846.10,
Ponta Grossa,Paraná,não,2054.732,309689,351736,150.72,171.18,0.763,42208.23,
Boa Ventura de São Roque,Paraná,não,620.453,6533,6387,10.53,10.29,0.655,33438.88,
Cambará,Paraná,não,366.153,23884,25360,65.23,69.26,0.721,24380.74,
Joaquim Távora,Paraná,não,289.173,10736,11908,37.13,41.18,0.700,51827.15,
Mallet,Paraná,não,753.713,13521,13630,17.94,18.08,0.708,48019.00,
Rebouças,Paraná,não,481.840,14175,14899,29.42,30.92,0.672,24136.06,
São Mateus do Sul,Paraná,não,1341.714,41257,46261,30.75,34.48,0.719,27273.55,
Sapopema,Paraná,não,677.609,6735,6736,9.94,9.94,0.655,14851.21,
Siqueira Campos,Paraná,não,278.035,18453,21016,66.37,75.59,0.704,25924.16,
Luiziana,Paraná,não,916.839,7380,7262,8.05,7.92,0.668,34908.32,
Nova Aurora,Paraná,não,474.011,11864,10472,25.03,22.09,0.733,48608.41,
Novo Itacolomi,Paraná,não,161.411,2826,2844,17.51,17.62,0.710,23137.68,
Prado Ferreira,Paraná,não,153.399,3434,3753,22.39,24.47,0.710,31176.11,
São Jerônimo da Serra,Paraná,não,823.774,11335,11170,13.76,13.56,0.637,18864.18,
Campina do Simão,Paraná,não,448.424,4076,3887,9.09,8.67,0.630,22745.62,
Sarandi,Paraná,não,103.501,82877,96688,800.74,934.17,0.695,15469.55,
Céu Azul,Paraná,não,1179.449,11027,11765,9.35,9.97,0.732,49491.86,
Tupãssi,Paraná,não,310.909,7996,8124,25.72,26.13,0.730,39225.42,
Arapongas,Paraná,não,382.215,104149,123027,272.49,321.88,0.748,37763.08,
Campo Mourão,Paraná,não,749.637,86245,94859,115.05,126.54,0.757,36491.24,
Jataizinho,Paraná,não,159.178,11874,12588,74.60,79.08,0.687,14780.45,
Ribeirão do Pinhal,Paraná,não,374.732,13524,13029,36.09,34.77,0.701,17471.75,
Cambé,Paraná,não,495.375,96830,106533,195.47,215.06,0.734,36457.75,
Rio Branco do Sul,Paraná,não,812.288,30647,32397,37.73,39.88,0.679,32698.87,
Santa Mariana,Paraná,não,427.193,12435,11724,29.11,27.44,0.700,27732.17,
Iporã,Paraná,não,647.894,14979,13926,23.12,21.49,0.706,30902.27,
Bela Vista do Paraíso,Paraná,não,242.689,15078,15397,62.13,63.44,0.716,28771.81,
Abatiá,Paraná,não,228.717,7764,7457,33.95,32.6,0.687,22813.99,
Marilena,Paraná,não,232.363,6857,7076,29.51,30.45,0.681,17622.20,
São José da Boa Vista,Paraná,não,399.667,6510,6206,16.29,15.53,0.671,21718.69,
Cambira,Paraná,não,163.388,7236,7865,44.29,48.14,0.725,23850.87,
Foz do Jordão,Paraná,não,235.382,5420,4650,23.03,19.76,0.645,20228.15,
Santana do Itararé,Paraná,não,251.269,5249,4992,20.89,19.87,0.687,18760.44,
Serranópolis do Iguaçu,Paraná,não,482.394,4553,4495,9.44,9.32,0.762,35760.74,
Antônio Olinto,Paraná,não,469.620,7349,7434,15.65,15.83,0.656,22442.57,
Curiúva,Paraná,não,576.263,13922,15101,24.16,26.21,0.656,14981.14,
Quatiguá,Paraná,não,112.689,7045,7449,62.52,66.1,0.714,22866.00,
Verê,Paraná,não,311.801,7879,7257,25.27,23.27,0.720,34329.10,
Cerro Azul,Paraná,não,1341.189,16939,17779,12.63,13.26,0.573,17840.43,
Almirante Tamandaré,Paraná,não,194.888,103280,118623,529.95,608.67,0.699,13200.70,
Campo do Tenente,Paraná,não,304.488,7125,7971,23.40,26.18,0.686,23513.81,
Goioxim,Paraná,não,702.471,7502,7111,10.68,10.12,0.641,22092.31,
Rosário do Ivaí,Paraná,não,371.250,5587,4786,15.05,12.89,0.662,15664.62,
São Pedro do Ivaí,Paraná,não,322.692,10168,10981,31.51,34.03,0.717,24323.53,
